,Max Sharpe Ratio Allocation,Min Volatility Allocation,Current Allocation
ABX.TO,0.0,0.0174,0.0107
AEM.TO,0.0,0.0,0.0065
AQN.TO,0.0,0.0,0.0052
ATD.TO,0.0,0.0,0.0093
BAM.TO,0.0,0.0743,0.028
BCE.TO,0.0,0.0,0.0098
BIP-UN.TO,0.0,0.0,0.029
BMO.TO,0.0,0.0,0.0168
BN.TO,0.0,0.0,0.0256
BNS.TO,0.0,0.0,0.0146
CAE.TO,0.0,0.0,0.0015
CAR-UN.TO,0.0,0.0157,0.0299
CCL-B.TO,0.0,0.0275,0.0144
CCO.TO,0.0136,0.0,0.0279
CM.TO,0.0,0.0,0.0182
CNQ.TO,0.0,0.0,0.007
CNR.TO,0.0,0.0115,0.0071
CP.TO,0.0,0.0,0.0136
CSU.TO,0.1968,0.0191,0.0105
CTC-A.TO,0.0,0.0,0.0198
CVE.TO,0.0,0.0,0.0229
DOL.TO,0.1067,0.0256,0.0051
EMA.TO,0.0,0.0,0.0252
ENB.TO,0.0,0.0,0.0274
FM.TO,0.0,0.0,0.0173
FNV.TO,0.0,0.1107,0.0283
FSV.TO,0.0,0.0,0.0156
FTS.TO,0.0,0.0,0.0162
GIB-A.TO,0.0,0.0526,0.0184
GIL.TO,0.0,0.0,0.0078
H.TO,0.0809,0.1602,0.0184
IFC.TO,0.0,0.0646,0.0088
IMO.TO,0.0,0.0,0.0172
K.TO,0.0,0.0,0.0284
L.TO,0.0121,0.0,0.0172
MFC.TO,0.0,0.0,0.017
MG.TO,0.0,0.0,0.0019
MRU.TO,0.0,0.2331,0.0135
NA.TO,0.0,0.0,0.0203
NTR.TO,0.0,0.0,0.0225
OTEX.TO,0.0,0.0,0.0057
POW.TO,0.0,0.0,0.0245
PPL.TO,0.0,0.0,0.0139
QSR.TO,0.0,0.0,0.0016
RCI-B.TO,0.0,0.0,0.0198
RY.TO,0.0,0.0001,0.0261
SAP.TO,0.0,0.0333,0.023
SHOP.TO,0.0,0.0,0.0071
SLF.TO,0.0,0.0,0.01
SU.TO,0.0,0.0,0.0298
T.TO,0.0,0.0,0.0161
TD.TO,0.0,0.0034,0.0286
TECK-B.TO,0.0,0.0,0.0194
TOU.TO,0.1322,0.0358,0.0038
TRI.TO,0.2893,0.0443,0.0198
TRP.TO,0.0,0.0,0.0252
WCN.TO,0.0,0.071,0.0097
WN.TO,0.0,0.0,0.0214
WPM.TO,0.086,0.0,0.0247
WSP.TO,0.0826,0.0,0.0149
